"strong","sense_label","gloss","note","row_type"
"G5548","II","wash with colour","αἰγέαι κεχριμέναι ἐρευθεδάνῳ ; πίσσῃ; ἀσφάλτῳ ; στοάν — middle , τὸ σῶμα μίλτῳ χρίονται bodies,","lookup"
"G5548","II","coat","αἰγέαι κεχριμέναι ἐρευθεδάνῳ ; πίσσῃ; ἀσφάλτῳ ; στοάν — middle , τὸ σῶμα μίλτῳ χρίονται bodies,","lookup"
"G5548","II","smear their","αἰγέαι κεχριμέναι ἐρευθεδάνῳ ; πίσσῃ; ἀσφάλτῳ ; στοάν — middle , τὸ σῶμα μίλτῳ χρίονται bodies,","lookup"
"G5548","III","wound on the surface","of the gadfly in — passive , ὀξυστόμῳ μύωπι χρισθεῖσ᾽","lookup"
"G5548","III","puncture","of the gadfly in — passive , ὀξυστόμῳ μύωπι χρισθεῖσ᾽","lookup"
"G5548","III","prick","of the gadfly in — passive , ὀξυστόμῳ μύωπι χρισθεῖσ᾽","lookup"
"G5548","III","sting","of the gadfly in — passive , ὀξυστόμῳ μύωπι χρισθεῖσ᾽","lookup"
"G6221","headword","ἄλειμμ-α",", ατος, τό,","headword"
"G6221","I","anything used for anointing","(ἀλείφω) , ,","lookup"
"G6221","I","unguent","(ἀλείφω) , ,","lookup"
"G6221","I","fat","(ἀλείφω) , ,","lookup"
"G6221","I","oil","(ἀλείφω) , ,","lookup"
"G8202","headword","λῐπαίνω",",","headword"
"G8202","I","oil","aorist ἐλίπηνα :— middle , aorist ἐλιπήνατο ; participle λιπηνάμενος :— passive , aorist ἐκ-λιπανθῆναι : perfect λελίπασμαι :— , τὴν κεφαλὴν ἐλαίῳ ; χαρᾶς ὕπο σῶμα λ. ἱδρῶτι Aspasia cited in ; of the τόνοι in a machine to preserve them, :— middle ,","lookup"
"G8202","I","anoint","aorist ἐλίπηνα :— middle , aorist ἐλιπήνατο ; participle λιπηνάμενος :— passive , aorist ἐκ-λιπανθῆναι : perfect λελίπασμαι :— , τὴν κεφαλὴν ἐλαίῳ ; χαρᾶς ὕπο σῶμα λ. ἱδρῶτι Aspasia cited in ; of the τόνοι in a machine to preserve them, :— middle ,","lookup"
"G8202","I","oiling","aorist ἐλίπηνα :— middle , aorist ἐλιπήνατο ; participle λιπηνάμενος :— passive , aorist ἐκ-λιπανθῆναι : perfect λελίπασμαι :— , τὴν κεφαλὴν ἐλαίῳ ; χαρᾶς ὕπο σῶμα λ. ἱδρῶτι Aspasia cited in ; of the τόνοι in a machine to preserve them, :— middle ,","lookup"
"G8202","I","anoint oneself","aorist ἐλίπηνα :— middle , aorist ἐλιπήνατο ; participle λιπηνάμενος :— passive , aorist ἐκ-λιπανθῆναι : perfect λελίπασμαι :— , τὴν κεφαλὴν ἐλαίῳ ; χαρᾶς ὕπο σῶμα λ. ἱδρῶτι Aspasia cited in ; of the τόνοι in a machine to preserve them, :— middle ,","lookup"
"G8202","I.2","make fat","of rivers, , χώραν ὕδασιν ; of Sciron swallowed by a sea-tortoise, χέλυος.. ἐλιπήνατο λαιμόν","lookup"
"G8202","I.2","enrich","of rivers, , χώραν ὕδασιν ; of Sciron swallowed by a sea-tortoise, χέλυος.. ἐλιπήνατο λαιμόν","lookup"
"G8202","II","glisten","intransitive , of the eyes, with tears,","lookup"
"G0253","headword","ἄλῡπ-ος",", ον,","headword"
