"strong","strong_variant","sense_label","gloss","note","row_type"
"G5548","","I","rub, anoint with scented unguents, oil, anoint, rub, infect, anoint oneself, one's","or as was done after bathing, frequently in ; of a dead body, χρῖεν ἐλαίῳ ; a suppliant, ; πέπλον χ. or with poison, :— middle , with accusative _of things_, ἰοὺς χρίεσθαι (i. e. poison) arrows, :— passive , χρίεσθαι ὑπὸ τοῦ ἡλίου ; βακκάριδι κεχριμένος Magnes [same place]; συκαμίνῳ τὰς γνάθους κεχριμέναι","lookup"
"G5548","","I.2","anoint in token of consecration","in LXX, χ. τινὰ εἰς βασιλέα","lookup"
"G5548","","II","wash with colour, coat, smear their","αἰγέαι κεχριμέναι ἐρευθεδάνῳ ; πίσσῃ; ἀσφάλτῳ ; στοάν — middle , τὸ σῶμα μίλτῳ χρίονται bodies,","lookup"
"G5548","","III","wound on the surface, puncture, prick, sting","of the gadfly in — passive , ὀξυστόμῳ μύωπι χρισθεῖσ᾽","lookup"
"G6221","","headword","ἄλειμμ-α",", ατος, τό,","headword"
"G6221","","I","anything used for anointing, unguent, fat, oil","(ἀλείφω) , ,","lookup"
"G8202","","headword","λῐπαίνω",",","headword"
"G8202","","I","oil, anoint, oiling, anoint oneself","aorist ἐλίπηνα :— middle , aorist ἐλιπήνατο ; participle λιπηνάμενος :— passive , aorist ἐκ-λιπανθῆναι : perfect λελίπασμαι :— , τὴν κεφαλὴν ἐλαίῳ ; χαρᾶς ὕπο σῶμα λ. ἱδρῶτι Aspasia cited in ; of the τόνοι in a machine to preserve them, :— middle ,","lookup"
"G8202","","I.2","make fat, enrich","of rivers, , χώραν ὕδασιν ; of Sciron swallowed by a sea-tortoise, χέλυος.. ἐλιπήνατο λαιμόν","lookup"
"G8202","","II","glisten","intransitive , of the eyes, with tears,","lookup"
"G0253","","headword","ἄλῡπ-ος",", ον,","headword"
"G0253","","I","without pain, without pains, -ότατος, free from pain and sorrow","frequently in Trag. (not of age, : superlative adverb ἀλύπως, ζῆν, διατελεῖν live : superlative ἀλυπότατα","lookup"
"G0253","","II","causing no pain, grief, harmless, setting free from the pain, cause least pain, are least indigestible, without offence","active , or ; ἄ. ἄνθος ἀνίας of sorrow of wine, ; ἀλυπότατος κλιντήρ, of a hospice, ; σωλῆνες -ότατοι μετὰ ἁλῶν i.e. adverb ἀλύπως, τοῖς ἄλλοις ζῆν live to others,","lookup"
"G0253","","III","herb terrible, Globularia Alypum","ἄλυπον, τό,","lookup"
"G0275","","headword","ἀμέριμν-ος",", ον,","headword"
"G0275","","I","free from care, unconcerned","adverb -νως Vett. Val.355.6, : comparative -ότερον, ἔχειν","lookup"
"G0275","","II","uncared for","passive ,","lookup"
"G0275","","III","causing less care, more easily attained, less celebrated","οἰνοχοεῖ κρήνης ἐξ ἀμεριμνοτέρης, either i.e. of the fount of inspiration, or possibly","lookup"
"G0275","","IV","","ἀμέριμνον, τό, ={ἀείζωον μέγα},","lookup"
"G3308","","headword","μέριμν-α",", ἡ,","headword"
