strongs_number,transliteration,language,owner_count,owner_registries
G4451,purōsis,Greek,3,"56-envy,96-jealousy,181-zeal"
G5087,tithēmi,Greek,3,"34-covenant,126-purpose,1-abomination"
G5364,filanthrōpōs,Greek,3,"103-love,3-ambition,99-kindness"
G5367,filautos,Greek,3,"103-love,3-ambition,99-kindness"
G5370,filēma,Greek,3,"103-love,3-ambition,99-kindness"
G5373,filia,Greek,3,"103-love,3-ambition,99-kindness"
G5376K,filippos,Greek,3,"103-love,3-ambition,99-kindness"
G5381,filoxenia,Greek,3,"103-love,3-ambition,99-kindness"
G5382,filoxenos,Greek,3,"103-love,3-ambition,99-kindness"
G5384,filos,Greek,3,"103-love,3-ambition,99-kindness"
G5390,filofronōs,Greek,3,"103-love,3-ambition,99-kindness"
G5590G,psuchē,Greek,3,"182-Soul,183-heart,184-spirit"
G5590H,psuchē,Greek,3,"182-Soul,183-heart,184-spirit"
G5590I,psuchē,Greek,3,"182-Soul,183-heart,184-spirit"
G5590J,psuchē,Greek,3,"182-Soul,183-heart,184-spirit"
G5590K,psuchē,Greek,3,"182-Soul,183-heart,184-spirit"
G5591,psuchikos,Greek,3,"182-Soul,183-heart,184-spirit"
H0014,a.vah,Hebrew,3,"43-desire,173-will,151-sorrow"
H0206G,a.ven,Hebrew,3,"51-distress,89-iniquity,151-sorrow"
H0234,az.ka.rah,Hebrew,3,"160-thought,112-mind,110-memory"
H0393,akh.zar,Hebrew,3,"187-strength,196-power,198-might"
H0394,akh.za.ri,Hebrew,3,"187-strength,196-power,198-might"
H0395,akh.ze.riy.yut,Hebrew,3,"187-strength,196-power,198-might"
H0534,a.mir,Hebrew,3,"212-pray,160-thought,126-purpose"
H0541,a.man,Hebrew,3,"59-faith,163-trust,44-despair"
H0561,e.mer,Hebrew,3,"212-pray,160-thought,126-purpose"
H0562,o.mer,Hebrew,3,"212-pray,160-thought,126-purpose"
H0565A,im.rah,Hebrew,3,"212-pray,160-thought,126-purpose"
H0565B,em.rah,Hebrew,3,"212-pray,160-thought,126-purpose"
H0570,e.mesh,Hebrew,3,"212-pray,160-thought,126-purpose"
H0712,ar.gaz,Hebrew,3,"4-anger,61-fear,178-wrath"
H0873,bi.ysh,Hebrew,3,"146-shame,1-abomination,51-distress"
H1616,ger,Hebrew,3,"61-fear,11-awe,152-strife"
H1682,de.vo.rah,Hebrew,3,"43-desire,212-pray,126-purpose"
H1687,de.vir,Hebrew,3,"43-desire,212-pray,126-purpose"
H1696H,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1696I,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697I,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697J,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697K,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697L,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697M,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1697N,da.var,Hebrew,3,"43-desire,212-pray,126-purpose"
H1698,de.ver,Hebrew,3,"43-desire,212-pray,126-purpose"
H1699A,do.ver,Hebrew,3,"43-desire,212-pray,126-purpose"
H1699B,dib.ber,Hebrew,3,"43-desire,212-pray,126-purpose"
H1700,div.rah,Hebrew,3,"43-desire,212-pray,126-purpose"
H1702,do.ve.rot,Hebrew,3,"43-desire,212-pray,126-purpose"
