cluster,strong,surface,family
M02,H4079,quarreling,other-uncategorised
M02,H4079,quarrels,other-uncategorised
M02,H4079,quarrelsome,other-uncategorised
M02,H4079,strife,violence-cruelty
M02,H4090,discord,other-uncategorised
M02,H4090,strife,violence-cruelty
M02,H4683,fight,violence-cruelty
M02,H4683,strife,violence-cruelty
M02,H4695,contend,other-uncategorised
M02,H4808,quarreled,other-uncategorised
M02,H4808,strife,violence-cruelty
M02,H4809G,Meribah,other-uncategorised
M02,H4809H,Meribah,other-uncategorised
M02,H4809H,Meribah-kadesh,other-uncategorised
M02,H4843,attacked him,violence-cruelty
M02,H4843,bitter,grief-lament-sorrow
M02,H4843,bitter distress,faint-despair-languishing
M02,H4843,bitter tears,grief-lament-sorrow
M02,H4843,dealt,other-uncategorised
M02,H4843,enraged,other-uncategorised
M02,H4843,firstborn,other-uncategorised
M02,H4843,had,other-uncategorised
M02,H4843,rage,anger-wrath-vexation
M02,H4843,rebel,rebellion-stubbornness
M02,H4843,weep,grief-lament-sorrow
M02,H5307K,anger,anger-wrath-vexation
M02,H5307K,fell,other-uncategorised
M02,H5359,Vengeance,other-uncategorised
M02,H5359,avenged,other-uncategorised
M02,H5359,takes revenge,other-uncategorised
M02,H5359,vengeance,other-uncategorised
M02,H5360,Avenge,other-uncategorised
M02,H5360,avenged,other-uncategorised
M02,H5360,avenging,other-uncategorised
M02,H5360,revenge,other-uncategorised
M02,H5360,revengefully,other-uncategorised
M02,H5360,vengeance,other-uncategorised
M02,H5674B,anger,anger-wrath-vexation
M02,H5674B,angry,anger-wrath-vexation
M02,H5674B,full,other-uncategorised
M02,H5674B,full of wrath,anger-wrath-vexation
M02,H5674B,passing,other-uncategorised
M02,H5674B,wrath,anger-wrath-vexation
M02,H5678,fury,anger-wrath-vexation
M02,H5678,indignation,anger-wrath-vexation
M02,H5678,insolence,other-uncategorised
M02,H5678,overflowings,other-uncategorised
M02,H5678,pride,pride-arrogance-scoffing
M02,H5678,wrath,anger-wrath-vexation
M02,H6225,angry,anger-wrath-vexation
M02,H6225,smoke,other-uncategorised
M02,H6440M,anger,anger-wrath-vexation
M02,H6440M,face,other-uncategorised
M02,H6696B,adversary,malice-enmity-persecution
M02,H6696B,harass,other-uncategorised
M02,H6696B,might attack,violence-cruelty
M02,H6869C,rival,other-uncategorised
M02,H7015,Laments,grief-lament-sorrow
M02,H7015,dirge,other-uncategorised
M02,H7015,lamentation,grief-lament-sorrow
M02,H7015,laments,grief-lament-sorrow
M02,H7065,envied,other-uncategorised
M02,H7065,envious,other-uncategorised
M02,H7065,envy,other-uncategorised
M02,H7065,jealous,desire-longing-appetite
M02,H7065,jealousy,desire-longing-appetite
M02,H7065,very,other-uncategorised
M02,H7065,zeal,desire-longing-appetite
M02,H7067H,jealous,desire-longing-appetite
M02,H7068,envy,other-uncategorised
M02,H7068,exceedingly,other-uncategorised
M02,H7068,jealous,desire-longing-appetite
M02,H7068,jealousy,desire-longing-appetite
M02,H7068,zeal,desire-longing-appetite
M02,H7072,jealous,desire-longing-appetite
M02,H7107,angered,anger-wrath-vexation
M02,H7107,angry,anger-wrath-vexation
M02,H7107,became enraged,other-uncategorised
M02,H7107,bore,lifting-bearing
M02,H7107,enraged,other-uncategorised
M02,H7107,to wrath,anger-wrath-vexation
M02,H7107,went on,walk-way-conduct
M02,H7107,wrath,anger-wrath-vexation
M02,H7108,furious,anger-wrath-vexation
M02,H7109,wrath,anger-wrath-vexation
M02,H7110A,anger,anger-wrath-vexation
M02,H7110A,enraged,other-uncategorised
M02,H7110A,exceedingly,other-uncategorised
M02,H7110A,indignation,anger-wrath-vexation
M02,H7110A,was very,other-uncategorised
M02,H7110A,wrath,anger-wrath-vexation
M02,H7110B,twig,other-uncategorised
M02,H7111,splintered,other-uncategorised
