id,strong,mounce_parsed,row_type,deleted
406137,G3333,"(middle) to send for, summon, call to oneself",description,0
406138,G3686,name; title; reputation,lookup,0
406139,G3687,"to give a name, designate a name; to confess; (middle) to call oneself; (passive) to be named; be known",description,0
406140,G3870,"to ask, beg, plead; to comfort, encourage, exhort, urge; to call, invite",description,0
406141,G4316,to designate,lookup,0
406142,G4341,"(middle) to call, summon, send for; gather together",description,0
406143,G4377,"to call out; speak to, address",description,0
406144,G4779,"(act.) to call together; (middle) to call to one’s side, summon",description,0
406145,G5455,"to call (out), summon",description,0
406146,G5537,"to warn; (passive) to bear a name; to be warned, told about, revealed to",description,0
406147,G5581,falsely called or identified,description,0
406148,G6285,to call by name,description,0
406149,G7099,to call forth,lookup,0
406150,G7115,to call into account,description,0
406151,G1382,"character, test, proof",lookup,0
406152,G2239,- moral habits,lookup,0
406153,G1653,"to show mercy, be merciful",description,0
406154,G1656,"mercy, pity; the moral quality of feeling compassion and especially of showing kindness toward someone in need. This can refer to a human kindness and to God’s kindness to humankind",description,0
406155,G2944,"to surround: gather around, march around",description,0
406156,G3627,to have compassion on,description,0
406157,G3628,"compassion, mercy, pity",lookup,0
406158,G4013,"(tr.) to take (a wife); (intr.) to; go about, travel about",description,0
406159,G4022,to go around,lookup,0
406160,G4033,"to encircle, surround",lookup,0
406161,G4184,compassionate,lookup,0
406162,G4697,"to have compassion on, have pity on",description,0
406163,G4698,"inward parts of body: intestines; of emotion: ""heart, affection, tenderness, compassion""",description,0
406164,G4834,to sympathize with,lookup,0
406165,G4835,sympathetic,lookup,0
406166,G7451,to show compassion,lookup,0
406167,G0176,"not condemned, what cannot be criticized",description,0
406168,G0843,self-condemned,lookup,0
406169,G1349,condemnation,lookup,0
406170,G1935,condemned to die,lookup,0
406171,G2607,"to condemn, convict; (passive) to be in the wrong, condemned",description,0
406172,G2613,to condemn,lookup,0
406173,G2631,condemnation,lookup,0
406174,G2632,to condemn,lookup,0
406175,G2633,condemnation,lookup,0
406176,G2917,"judgment, condemnation; sentence, punishment",description,0
406177,G2919,"to decide, consider, as preferring one thing over another or determining the correctness of a matter; by extension: to judge, pass judgment on, condemn in a legal sense",description,0
406178,G2920,"judgment (human or divine), justice, the concept of determining the correctness of a matter; negatively, punishment, condemnation",description,0
406179,G5020,"to send to hell, hold captive in Tartarus; a derivative of the Greek noun ""Tartarus,"" a place of torture and torment lower than Hades in Greek and Jewish apocalyptic literature, not found in the NT condemn",description,0
406180,G4893,conscience,lookup,0
406181,G4894,to share knowledge with; to be conscious (of oneself) aware,description,0
406182,G0037,"to sanctify, set apart, make holy; this can mean active dedication and service to God or the act of regarding or honoring as holy",description,0
406183,G0040G,: holy,lookup,0
406184,G0040G,holy,lookup,0
406185,G0334,offering-,lookup,0
406186,G4286,purpose,lookup,0
406187,G5048,"to perfect, complete, finish; (passive) to reach a goal, be fulfilled, completed, made perfect",description,0
406188,G7751,to consecrate,lookup,0
406189,G0073,"struggle, fight, often an athletic contest",description,0
406190,G0714,"(middle/passive) to be content, satisfied; (act.) to be sufficient",description,0
406191,G0841,"contentment, having all of one’s needs, sufficiency",description,0
406192,G0842,content; (possibly) self-sufficient,lookup,0
406193,G2054,"quarrel, strife, dissension, discord",description,0
406194,G2106,"to be well pleased, delight",description,0
406195,G2213,"question for discussion, point of dispute, controversy",description,0
406196,G3859,constant friction contention,lookup,0
406197,G3948,"sharp disagreement; spurring on, encouraging stirring up",description,0
406198,G8313,be content,lookup,0
406199,G0853,"to destroy, disfigure; to perish, vanish, disappear",description,0
406200,G0889,"(passive) to become worthless, depraved",description,0
406201,G1311,"to destroy, corrupt",lookup,0
406202,G1312,decay,lookup,0
406203,G1612,"(passive) to be warped, perverted",description,0
406204,G2585,"to act as a peddler, trade in for profit peddle",description,0
406205,G2704,"(passive) to be depraved, corrupt",description,0
406206,G3393,"corruption, defilement",lookup,0
406207,G3394,"corruption, pollution, defilement",lookup,0
406208,G4550,"bad, rotten, decayed; unwholesome",description,0
406209,G4595,"to rot, decay",lookup,0
406210,G4646,crooked; corrupt,lookup,0
406211,G5349,"perishable, not lasting, mortal",description,0
406212,G5351,"to destroy, corrupt; (passive) to be corrupted, destroyed, perish; to be led astray",description,0
406213,G5356,"perishableness, destruction, corruption; depravity",description,0
406214,G7946,corruption,lookup,0
406215,G1011,"to make plans, consider, decide, plot plan",description,0
406216,G1012,"plan, purpose, will, decision",description,0
406217,G4823,"to advise, counsel; (middle) to plot, conspire, consult",description,0
406218,G4824,"plan, plot; decision; council",description,0
406219,G0407,to act courageously,lookup,0
406220,G2114,"to keep up one’s courage; to be happy, cheerfultake heart",description,0
406221,G2293,"take heart!, take courage!, cheer up!",description,0
406222,G2294,"encouragement, courage",lookup,0
406223,G6326,courage; courageous,lookup,0
406224,G1242,"covenant, a solemn agreement between two parties; will, testament, a legal document by which property is transferred to heirs, usually upon death (Heb 9:16)",description,0
406225,G1303,"to make a covenant or a will; to confer, assign",description,0
406226,G2787G,: covenant,lookup,0
406227,G2787G,"ark, box, chest",lookup,0
406228,G4934,"(middle) to join in an accusation, join in an attack accuse",description,0
406229,G0866,"not loving money, not greedy",description,0
406230,G1937,"to long for, desire; covet, lust",description,0
406231,G1939,"desire, longing (in contexts where the desire is positive and proper); coveting, craving, lusting (in contexts where the desire is immoral and sinful)",description,0
406232,G2206,"to be earnest, eager",description,0
406233,G3713,"(middle) to set one’s heart on, strive for, aspire to, desire",description,0
406234,G4123,greedy person,lookup,0
406235,G4124,"greediness, avarice",lookup,0
