registry_word,strongNumber,language,stepTransliteration,stepGloss,cluster_code,cluster_name
being,G4916,Greek,sunthaptō,be buried with,,
being,G4925,Greek,sunoikodomeō,be built up with,T2,Supplementary
being,G4927,Greek,sunomoreō,be next to,,
being,G4980,Greek,scholazō,be devoted/empty,,
being,G4993,Greek,sōfroneō,be of sound mind,M15,Wisdom
being,G4993,Greek,sōfroneō,be of sound mind,M47,Constitution
being,G5075,Greek,tetrarcheō,be a tetrarch,,
being,G5111,Greek,tolmaō,be bold,M34,Perseverance
being,G5187,Greek,tufoō,be conceited,M08,Pride
being,G5198,Greek,hugiainō,be healthy,,
being,G5225,Greek,huparchō,be already,,
being,G5229,Greek,huperairō,be haughty,,
being,G5242,Greek,huperechō,be higher,M23,Strength
being,G5252,Greek,huperfroneō,be haughty,M08,Pride
being,G5309,Greek,hupsēlofroneō,be arrogant,M08,Pride
being,G5383,Greek,filoprōteuō,to love to be first,T2,Supplementary
being,G5431,Greek,frontizō,be careful,M19,Trust
being,G5492,Greek,cheimazō,be storm-tossed,,
being,G5520,Greek,cholaō,be angry,,
being,G5534,Greek,chrē,to ought/need,,
being,G5541,Greek,chrēsteuomai,be kind,M05,Love
being,G5600,Greek,ō,may be,,
being,G5605,Greek,ōdinō,be in labor,M03,Grief
