id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted
18364,Rom,9261,12,8,12,8,Rom 12:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18365,Rom,1,12,9,12,9,Rom 12:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18366,Rom,18984,12,10,12,10,Rom 12:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18367,Rom,6075,12,11,12,11,Rom 12:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18368,Rom,1226,12,12,12,12,Rom 12:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18369,Rom,26019,12,14,12,14,Rom 12:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18370,Rom,17512,12,15,12,15,Rom 12:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18371,Rom,8061,12,16,12,16,Rom 12:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18372,Rom,22424,12,17,12,17,Rom 12:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18373,Rom,25899,12,18,12,18,Rom 12:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18374,Rom,570,12,19,12,19,Rom 12:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18375,Rom,8062,12,20,12,20,Rom 12:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18376,Rom,6964,12,21,12,21,Rom 12:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18377,Rom,6965,13,1,13,5,Rom 13:1-5,5,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18378,Rom,2839,13,7,13,7,Rom 13:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18379,Rom,25501,13,8,13,9,Rom 13:8-9,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18380,Rom,22425,13,10,13,10,Rom 13:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18381,Rom,22645,13,11,13,11,Rom 13:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18382,Rom,15644,13,13,13,13,Rom 13:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18383,Rom,1805,13,14,13,14,Rom 13:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18384,Rom,19408,14,1,14,2,Rom 14:1-2,2,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18385,Rom,14361,14,3,14,3,Rom 14:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18386,Rom,14363,14,5,14,5,Rom 14:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18387,Rom,22921,14,6,14,6,Rom 14:6,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18388,Rom,1806,14,9,14,9,Rom 14:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18389,Rom,14364,14,10,14,10,Rom 14:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
18390,Rom,4385,14,11,14,11,Rom 14:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0
